"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1970","1970","USD","US Dollar","0","Units",,,17008.035172,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1971","1971","USD","US Dollar","0","Units",,,17386.252819,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1972","1972","USD","US Dollar","0","Units",,,18618.131034,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1973","1973","USD","US Dollar","0","Units",,,19807.3997,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1974","1974","USD","US Dollar","0","Units",,,20339.49563,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1975","1975","USD","US Dollar","0","Units",,,20616.944645,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1976","1976","USD","US Dollar","0","Units",,,20625.34397,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1977","1977","USD","US Dollar","0","Units",,,20617.155247,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1978","1978","USD","US Dollar","0","Units",,,21158.394319,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1979","1979","USD","US Dollar","0","Units",,,22607.245157,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1980","1980","USD","US Dollar","0","Units",,,23751.783241,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1981","1981","USD","US Dollar","0","Units",,,23961.553125,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1982","1982","USD","US Dollar","0","Units",,,24568.612774,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1983","1983","USD","US Dollar","0","Units",,,25183.532889,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1984","1984","USD","US Dollar","0","Units",,,25860.430374,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1985","1985","USD","US Dollar","0","Units",,,26666.755742,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1986","1986","USD","US Dollar","0","Units",,,27312.450287,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1987","1987","USD","US Dollar","0","Units",,,28209.097139,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1988","1988","USD","US Dollar","0","Units",,,29594.402911,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1989","1989","USD","US Dollar","0","Units",,,30987.776771,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1990","1990","USD","US Dollar","0","Units",,,31057.84574,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1991","1991","USD","US Dollar","0","Units",,,29070.521172,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1992","1992","USD","US Dollar","0","Units",,,27954.95359,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1993","1993","USD","US Dollar","0","Units",,,27636.151311,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1994","1994","USD","US Dollar","0","Units",,,28607.726942,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1995","1995","USD","US Dollar","0","Units",,,29700.255883,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1996","1996","USD","US Dollar","0","Units",,,30688.480662,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1997","1997","USD","US Dollar","0","Units",,,32535.722596,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1998","1998","USD","US Dollar","0","Units",,,34220.043078,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1999","1999","USD","US Dollar","0","Units",,,35635.757236,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2000","2000","USD","US Dollar","0","Units",,,37615.221205,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2001","2001","USD","US Dollar","0","Units",,,38509.197764,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2002","2002","USD","US Dollar","0","Units",,,39071.714225,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2003","2003","USD","US Dollar","0","Units",,,39759.826204,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2004","2004","USD","US Dollar","0","Units",,,41226.866034,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2005","2005","USD","US Dollar","0","Units",,,42228.332285,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2006","2006","USD","US Dollar","0","Units",,,43760.541177,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2007","2007","USD","US Dollar","0","Units",,,45884.392195,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2008","2008","USD","US Dollar","0","Units",,,46029.151955,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2009","2009","USD","US Dollar","0","Units",,,42110.456274,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2010","2010","USD","US Dollar","0","Units",,,43253.588955,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2011","2011","USD","US Dollar","0","Units",,,44150.573094,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2012","2012","USD","US Dollar","0","Units",,,43326.896934,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,42738.866336,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,42399.7146,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,42490.211112,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,43567.153022,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,44852.705058,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,45298.109387,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,45808.054368,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,44655.694758,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,45981.904358,,
"FIN","Finland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2022","2022","USD","US Dollar","0","Units",,,46588.971369,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1970","1970","USD","US Dollar","0","Units",,,13502.900339,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1971","1971","USD","US Dollar","0","Units",,,13840.072196,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1972","1972","USD","US Dollar","0","Units",,,14514.073082,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1973","1973","USD","US Dollar","0","Units",,,14956.986333,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1974","1974","USD","US Dollar","0","Units",,,15339.609475,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1975","1975","USD","US Dollar","0","Units",,,15936.93988,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1976","1976","USD","US Dollar","0","Units",,,15903.925651,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1977","1977","USD","US Dollar","0","Units",,,16978.416565,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1978","1978","USD","US Dollar","0","Units",,,17967.969221,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1979","1979","USD","US Dollar","0","Units",,,18223.19329,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1980","1980","USD","US Dollar","0","Units",,,18602.080565,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1981","1981","USD","US Dollar","0","Units",,,18986.173686,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1982","1982","USD","US Dollar","0","Units",,,19213.242816,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1983","1983","USD","US Dollar","0","Units",,,19029.598003,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1984","1984","USD","US Dollar","0","Units",,,19723.165769,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1985","1985","USD","US Dollar","0","Units",,,20262.844959,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1986","1986","USD","US Dollar","0","Units",,,20170.356861,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1987","1987","USD","US Dollar","0","Units",,,21104.960485,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1988","1988","USD","US Dollar","0","Units",,,22281.560464,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1989","1989","USD","US Dollar","0","Units",,,23718.051282,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1990","1990","USD","US Dollar","0","Units",,,25755.497718,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1991","1991","USD","US Dollar","0","Units",,,26103.577992,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1992","1992","USD","US Dollar","0","Units",,,26756.23263,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1993","1993","USD","US Dollar","0","Units",,,27330.602686,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1994","1994","USD","US Dollar","0","Units",,,28806.982989,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1995","1995","USD","US Dollar","0","Units",,,31448.192597,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1996","1996","USD","US Dollar","0","Units",,,33537.994815,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1997","1997","USD","US Dollar","0","Units",,,36846.307617,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1998","1998","USD","US Dollar","0","Units",,,39538.091315,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","1999","1999","USD","US Dollar","0","Units",,,43228.926633,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2000","2000","USD","US Dollar","0","Units",,,46678.8532,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2001","2001","USD","US Dollar","0","Units",,,48398.064079,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2002","2002","USD","US Dollar","0","Units",,,50366.118494,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2003","2003","USD","US Dollar","0","Units",,,51038.577991,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2004","2004","USD","US Dollar","0","Units",,,53560.573406,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2005","2005","USD","US Dollar","0","Units",,,55373.188616,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2006","2006","USD","US Dollar","0","Units",,,56639.966341,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2007","2007","USD","US Dollar","0","Units",,,57880.479771,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2008","2008","USD","US Dollar","0","Units",,,54106.491235,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2009","2009","USD","US Dollar","0","Units",,,50861.478054,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2010","2010","USD","US Dollar","0","Units",,,51483.689854,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2011","2011","USD","US Dollar","0","Units",,,51929.257845,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2012","2012","USD","US Dollar","0","Units",,,51648.752273,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,51999.773162,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,56196.512598,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,69305.538832,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,69738.761093,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,75386.524928,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,80789.911269,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,83921.406251,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,88519.721801,,
"IRL","Ireland","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,101130.76163,,
